parameter,time_pressure,mean,median,q2.5,q97.5
mu_alpha,No TP,1.7613667567908489,1.7602151484964326,1.0207177826375056,2.5003701748958598
mu_alpha,TP,1.606710398962387,1.6489790413902194,0.7076811502342549,2.376755504036133
mu_beta,No TP,-0.6709879074913343,-0.6813458985927439,-1.0847880509606342,-0.21856208150440845
mu_beta,TP,-0.5592885107640982,-0.5678686467548781,-1.1381246656461934,0.05797929596278774
mu_gamma,No TP,0.21210204718139009,0.2102261983770502,0.015267073681926903,0.4138050988159436
mu_gamma,TP,0.36582033503133243,0.36443576240659886,0.12712373453510495,0.6091026399376797
sigma_alpha,No TP,0.4374579700401656,0.37538457596521235,0.017901209509835966,1.220320353731439
sigma_alpha,TP,0.47240952935221353,0.41238920308243676,0.020848089328078433,1.234263648414278
sigma_beta,No TP,0.8090900194705568,0.8024805937438066,0.43425877659118184,1.2073704419920275
sigma_beta,TP,0.5928581733157576,0.6044020759152975,0.11524616861677994,0.9983947284312528
sigma_gamma,No TP,0.578300341586905,0.5743840246231837,0.418426363865294,0.7667133769612373
sigma_gamma,TP,0.5600839034107873,0.5563575346973821,0.3979293405883944,0.7447937396624611
