parameter,param_type,participant,mean,2.5%,50%,97.5%,task,feedback,frame,time_pressure,task_label
alpha[1],alpha,1,0.3266713972915853,-0.8181237528112093,0.35817801416920847,1.2577633214226227,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[2],alpha,2,0.48574395426048905,-0.4683765949748093,0.47044034957370895,1.5520777626775717,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[3],alpha,3,0.43617392668710886,-0.5821640013811784,0.43513142629712764,1.4502771601203637,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[4],alpha,4,0.4625010177405107,-0.5948752330925843,0.4538107597409363,1.6101815092693803,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[5],alpha,5,0.4905538184066415,-0.49309888624497816,0.4660127017942258,1.6777450501276907,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[6],alpha,6,0.5187900144916618,-0.46357131668315316,0.48258839836150236,1.741192312415046,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[7],alpha,7,0.44440738906790095,-0.5805066348176594,0.44378289626331846,1.5050963611823682,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[8],alpha,8,0.44853989586807413,-0.5783626657855918,0.4448298082402503,1.5602749935123896,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[9],alpha,9,0.48661428045092403,-0.4479526302305794,0.4701524933104091,1.5127546431085155,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[10],alpha,10,0.46731352020566685,-0.5356005860746523,0.453875925640433,1.5217289497047262,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[11],alpha,11,0.4505602851708,-0.5357065759793871,0.43636430093776124,1.509351987359517,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[12],alpha,12,0.42499057470989,-0.6498314128779856,0.42702526342529673,1.4458893263348158,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[13],alpha,13,0.3694641156489624,-0.8020267423369578,0.392956331206438,1.378509346701569,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[14],alpha,14,0.4634612521251594,-0.5561399876232516,0.4501510269830487,1.5776899065918846,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[15],alpha,15,0.4901006375752616,-0.4308505397595388,0.4723032411588288,1.5235655581850815,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[16],alpha,16,0.4384811447434105,-0.551661211110436,0.4384783957081175,1.4427039239862764,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[17],alpha,17,0.40483777336286836,-0.7187391490806931,0.4164196854043296,1.4396330528053172,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[18],alpha,18,0.3859697971191859,-0.7681948754975445,0.40514211186381327,1.431522098490581,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[19],alpha,19,0.42537640406918903,-0.6287017024076834,0.4296370362575997,1.4552467389426478,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[20],alpha,20,0.48682332225436536,-0.4744984783059907,0.46412817432683523,1.593994380776437,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[21],alpha,21,0.4223250063466561,-0.6652391705194753,0.4266284821354916,1.497575633268683,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[22],alpha,22,0.5652497164991404,-0.32255966614317766,0.5238356011598873,1.7530096702982219,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[23],alpha,23,0.464731070520002,-0.5422599393302713,0.4548654384282015,1.557806542752895,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[24],alpha,24,0.4113154133737668,-0.6714464394783146,0.4144880026337047,1.4618100662503917,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[25],alpha,25,0.504728657625094,-0.4328700370478869,0.48732029760660645,1.6263229094382359,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[26],alpha,26,0.3653163540145758,-0.7174981777843109,0.38823173775883524,1.3045560240006489,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[27],alpha,27,0.23749237730150158,-1.075362930928456,0.2978481339612263,1.1513444298407247,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[28],alpha,28,0.47624913213723313,-0.4889315356024653,0.4609041787133725,1.539905678648864,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[29],alpha,29,0.4867678353489947,-0.5485380426129111,0.467873983819588,1.6386060844273969,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[30],alpha,30,0.4713679777293162,-0.5322301900245516,0.46180071616664065,1.5399211167953641,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[31],alpha,31,0.41827724233577246,-0.588325865433798,0.4214224330170616,1.3769390053757997,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[32],alpha,32,0.5077416030725636,-0.4427236598773111,0.482057049621872,1.671461663984078,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[33],alpha,33,0.4573085566503774,-0.5271976998626523,0.4507348779366595,1.5102604741343384,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[34],alpha,34,0.4885471730098042,-0.476317417758122,0.47658651046326334,1.6045900814600822,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[35],alpha,35,0.360931849982451,-0.7299926036058837,0.38409215404497193,1.29197330359895,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[36],alpha,36,0.49253602930125095,-0.4752154556060829,0.47310433150905973,1.6523352296422567,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[37],alpha,37,0.44205698960600703,-0.6202800620642316,0.44121318974277424,1.5447300235898338,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[38],alpha,38,0.47275445886109996,-0.5091081852748065,0.45786034878868614,1.580266745054166,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[39],alpha,39,0.4333959982701442,-0.5976535311641988,0.42926024195351037,1.4850718130854594,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[40],alpha,40,0.495672030038531,-0.4878261418089114,0.4760698785203079,1.619558326333565,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[41],alpha,41,0.4745970720029948,-0.5676711283358965,0.45910230481251163,1.5655430241857369,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[42],alpha,42,0.48538991279525634,-0.49575091206115207,0.4654169729307711,1.5582077847973708,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[43],alpha,43,0.45803851402159224,-0.5552702606558771,0.44824784251750827,1.5335372213425424,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[44],alpha,44,0.47245970878538684,-0.5353343227152713,0.457998521330606,1.5598132337489181,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[45],alpha,45,0.3931093381677047,-0.6300562080120747,0.405202550454575,1.3618447020617745,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[46],alpha,46,0.4749460135631438,-0.5473272922355726,0.46072958188093516,1.6254973868460187,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[47],alpha,47,0.419191131660001,-0.659861435155267,0.4264162333372663,1.4771874428364655,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[48],alpha,48,0.46782849247980735,-0.5362806020536277,0.45278448100529334,1.5447382996372365,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[49],alpha,49,0.41040656881918003,-0.6838789798436566,0.41852110190098674,1.4684997839736247,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[50],alpha,50,0.468514225093438,-0.46268124605173855,0.4573915626469148,1.5100089265763783,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[51],alpha,51,0.4451751603171012,-0.5753902938732576,0.4418970396238724,1.5168086374160283,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[52],alpha,52,0.4623331456625521,-0.561257964038683,0.4556689873101636,1.5128639582004946,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[53],alpha,53,0.3425532429638327,-0.7877205615753962,0.3704792558048593,1.257550635400767,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[54],alpha,54,0.4090229400329368,-0.7162085322846388,0.4186364898680164,1.4385432749804952,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[55],alpha,55,0.4744009755415961,-0.5096163680394777,0.4650769419926176,1.5247822543747143,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[56],alpha,56,0.4846616697227466,-0.4972859963762241,0.4665750164039343,1.5728105016221514,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[57],alpha,57,0.4320093256465055,-0.6317965194699247,0.4404982107448875,1.4943591632001143,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[58],alpha,58,0.46536135046397215,-0.4884492858180593,0.4572744266984446,1.470417833954028,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[59],alpha,59,0.4659717388742287,-0.5635268354261138,0.4524160470566672,1.5893879557270512,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[60],alpha,60,0.44115757476544654,-0.5977863559962492,0.43820441153876344,1.5038120372773993,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[61],alpha,61,0.4994256944432578,-0.5057413919607949,0.47516300594256117,1.623009405480044,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[62],alpha,62,0.44982791207152345,-0.5657799977316201,0.43853565666923633,1.5761183282263107,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[63],alpha,63,0.46893831387505686,-0.5493686776530904,0.4537228794399809,1.5666553347142667,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[64],alpha,64,0.4734721635524499,-0.5366576002312067,0.4547829050566623,1.6002356018196726,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
alpha[65],alpha,65,0.4456810841595398,-0.5909404997884483,0.4428126271035121,1.5379806964944212,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
beta[1],beta,1,-0.06834188731079377,-0.7735824982535835,-0.03051295287286052,0.42293540161421256,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
beta[2],beta,2,0.024507661160845587,-0.5299039566771777,0.022283697898175678,0.5905812229627052,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
beta[3],beta,3,-0.08642239314055117,-0.8398860031437503,-0.046454384405242924,0.40171164461003755,FullcrossNoTimelimited,Full,Reject,No TP,Full | Reject | No TP
