"model","formula","ok","singular","converged_warning","AIC","BIC","logLik","npar","error"
"m__1_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 | Participant)",TRUE,FALSE,"",8013.23068645527,8196.98720229388,-3973.61534322764,33,""
"m__1_Blocks_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Blocks | Participant)",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')",7992.68438236724,8226.55631161637,-3954.34219118362,42,""
"m__1_Blocks_num_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Blocks_num | Participant)",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')",7988.095662765,8182.98893713928,-3959.0478313825,35,""
"m__1_Time_Pressure_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Time_Pressure | Participant)",TRUE,FALSE,"",7937.65891168414,8132.55218605841,-3933.82945584207,35,""
"m__1_Choice_Frame_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Choice_Frame | Participant)",TRUE,FALSE,"",7918.01661011725,8112.90988449152,-3924.00830505862,35,""
"m__1_Feedback_Type_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Feedback_Type | Participant)",TRUE,FALSE,"Model is nearly unidentifiable: large eigenvalue ratio
 - Rescale variables?",7991.88489618395,8186.77817055823,-3960.94244809198,35,""
"m__1_Time_Pressure_Choice_Frame_Feedback_Type_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Time_Pressure + Choice_Frame + Feedback_Type | Participant)",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')",7792.24696883088,8026.11889808001,-3854.12348441544,42,""
"m__1_Time_Pressure_Choice_Frame_Feedback_Type_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Time_Pressure + Choice_Frame + Feedback_Type || Participant)",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')",7807.46253220918,8041.33446145832,-3861.73126610459,42,""
"m__1_Blocks_num_Time_Pressure_Choice_Frame_Feedback_Type_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Blocks_num + Time_Pressure + Choice_Frame + Feedback_Type | Participant)",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')",7777.65907290298,8039.3728984913,-3841.82953645149,47,""
"m__1_Blocks_num_Time_Pressure_Choice_Frame_Feedback_Type_Participant_","Average_Risky_Choice ~ Blocks * Time_Pressure * Choice_Frame * Feedback_Type + (1 + Blocks_num + Time_Pressure + Choice_Frame + Feedback_Type || Participant)",TRUE,TRUE,"boundary (singular) fit: see help('isSingular')",7832.90807282556,8072.34838134253,-3873.45403641278,43,""
