Participant,Feedback_Type,Time_Pressure,Choice_Frame,task_name,trial_index,order_global,risky_choice,trial_in_first_tp_task,Blocks
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,17,1,0,1,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,22,2,1,2,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,27,3,1,3,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,31,4,0,4,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,36,5,0,5,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,40,6,1,6,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,44,7,1,7,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,48,8,1,8,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,53,9,1,9,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,57,10,0,10,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,61,11,0,11,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,65,12,0,12,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,69,13,0,13,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,73,14,1,14,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,77,15,0,15,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,81,16,0,16,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,85,17,1,17,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,89,18,0,18,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,93,19,0,19,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,97,20,1,20,2
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,101,21,1,21,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,105,22,0,22,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,109,23,0,23,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,113,24,0,24,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,117,25,0,25,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,121,26,1,26,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,125,27,0,27,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,129,28,0,28,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,133,29,0,29,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,138,30,1,30,3
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,142,31,0,31,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,146,32,0,32,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,150,33,1,33,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,154,34,1,34,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,158,35,1,35,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,162,36,1,36,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,166,37,0,37,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,170,38,0,38,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,174,39,0,39,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.02.511,Partial,Yes,Reject,Reject_TP,178,40,0,40,4
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.37.978,Partial,Yes,Accept,Accept_TP,183,41,0,1,1
Mega_project_PARTICIPANT_SESSION_2025-11-24_10h18.37.978,Partial,Yes,Accept,Accept_TP,187,42,1,2,1
