term,Estimate,Std. Error,z value,Pr(>|z|)
(Intercept),0.2653133127046982,0.11769728864779314,2.2542007190891473,0.024183543583403928
Blocks2,-0.27594784557611507,0.1549887378828651,-1.7804380456641082,0.07500430003567382
Blocks3,-0.04838953694104333,0.15539576846915407,-0.3113954608786443,0.7555000041908801
Blocks4,-0.5037894403171137,0.1555460786343469,-3.2388437223249253,0.001200153133533174
Choice_FrameReject,-0.21446674758901968,0.16667425150213017,-1.2867419271793081,0.19818425415593208
Feedback_TypePartial,-0.610835417315504,0.17769249590956215,-3.437598274416681,5.868977059853977e-4
timepressureYes,-0.39076459798767926,0.16683255240938066,-2.342256306364029,0.019167546787949404
Blocks2:Choice_FrameReject,0.18472287415133842,0.2236777115979475,0.8258439020664295,0.40889264635361405
Blocks3:Choice_FrameReject,0.061435381657861485,0.22396523002738855,0.27430767557244756,0.7838481864109815
Blocks4:Choice_FrameReject,0.490738158555965,0.22413038452594977,2.1895208880041315,0.028559002048387294
Blocks2:Feedback_TypePartial,0.27597258241567324,0.23463714611144817,1.1761674866459189,0.23952795419021045
Blocks3:Feedback_TypePartial,0.017266791730122293,0.23496374173883722,0.07348704784125533,0.9414185505321501
Blocks4:Feedback_TypePartial,0.2330878651502144,0.23680863775640482,0.9842878509777256,0.3249740012691783
Choice_FrameReject:Feedback_TypePartial,0.6934253962477772,0.2463295848709278,2.815030913201593,0.004877254207032145
Blocks2:timepressureYes,0.44387513018477787,0.22803840412844445,1.94649288079898,0.051595562287493485
Blocks3:timepressureYes,0.18832500886392545,0.22824914497107868,0.825085276388606,0.40932317816850644
Blocks4:timepressureYes,0.7698614514831151,0.2285909925664269,3.3678555871329836,7.575526576575895e-4
Choice_FrameReject:timepressureYes,0.41828655090110584,0.2382433906341135,1.7557110389832253,0.0791377609490713
Feedback_TypePartial:timepressureYes,0.5950978587275524,0.2490599459353745,2.38937600541344,0.016877019721801504
Blocks2:Choice_FrameReject:Feedback_TypePartial,-0.6105586975115509,0.3310971822126378,-1.8440467944527443,0.06517632084305977
Blocks3:Choice_FrameReject:Feedback_TypePartial,-0.5142192166362127,0.3314519330032379,-1.5514141431517596,0.12080246802330595
Blocks4:Choice_FrameReject:Feedback_TypePartial,-0.8370128571349814,0.33352519979202944,-2.5095940506351635,0.012087002375031517
Blocks2:Choice_FrameReject:timepressureYes,-0.4425391525440586,0.3169403491404462,-1.3962853065071739,0.16262859671868232
Blocks3:Choice_FrameReject:timepressureYes,-0.1563512384556689,0.3170827467208389,-0.4930928600581388,0.6219469755863526
Blocks4:Choice_FrameReject:timepressureYes,-0.8579226675141522,0.31739218566187966,-2.703036515297525,0.006870919769958688
Blocks2:Feedback_TypePartial:timepressureYes,-0.5936135169788721,0.341061906664593,-1.7404861269442304,0.08177369398112735
Blocks3:Feedback_TypePartial:timepressureYes,-0.3237309309118973,0.3411356401415312,-0.9489800912551589,0.3426307377769172
Blocks4:Feedback_TypePartial:timepressureYes,-0.8193538528765489,0.3434308356774,-2.385789998327945,0.01704247972623976
Choice_FrameReject:Feedback_TypePartial:timepressureYes,-0.895309470839866,0.3518086848158738,-2.5448759780004986,0.010931655678857045
Blocks2:Choice_FrameReject:Feedback_TypePartial:timepressureYes,0.898244731617755,0.4690148210431545,1.9151734472269621,0.05547038756354193
Blocks3:Choice_FrameReject:Feedback_TypePartial:timepressureYes,0.6558200493839378,0.468989194093391,1.3983692111536,0.16200222391158842
Blocks4:Choice_FrameReject:Feedback_TypePartial:timepressureYes,1.0465792638140328,0.47227992556707693,2.216014713217764,0.026690494503777164
