"Feedback_Type","Choice_Frame","Time_Pressure","Blocks","Participants","Mean_Risky_Chance","SE_Risky_Chance","Min_Risky_Chance","Max_Risky_Chance","Mean_Risky_Percent","SE_Risky_Percent"
"Full","Accept","No",1,65,0.523076923076923,0.0169514622084915,0.3,1,52.3076923076923,1.69514622084915
"Full","Accept","No",2,65,0.507692307692308,0.0155519743224275,0.3,1,50.7692307692308,1.55519743224275
"Full","Accept","No",3,65,0.543076923076923,0.01753694325412,0.2,1,54.3076923076923,1.753694325412
"Full","Accept","No",4,65,0.481538461538462,0.0195984089439958,0.2,1,48.1538461538462,1.95984089439958
"Full","Accept","Yes",1,65,0.5,0.0204516314940699,0,1,50,2.04516314940699
"Full","Accept","Yes",2,65,0.513846153846154,0.0180646439474113,0,1,51.3846153846154,1.80646439474113
"Full","Accept","Yes",3,65,0.518461538461538,0.0185912908286261,0,1,51.8461538461538,1.85912908286261
"Full","Accept","Yes",4,65,0.524615384615385,0.0197375531897234,0,1,52.4615384615385,1.97375531897234
"Full","Reject","No",1,65,0.503076923076923,0.0182094162519474,0.1,1,50.3076923076923,1.82094162519474
"Full","Reject","No",2,65,0.503076923076923,0.0178089798504465,0,1,50.3076923076923,1.78089798504465
"Full","Reject","No",3,65,0.52,0.0162906296804211,0,1,52,1.62906296804211
"Full","Reject","No",4,65,0.510769230769231,0.0170015662348464,0.2,1,51.0769230769231,1.70015662348464
"Full","Reject","Yes",1,65,0.5,0.020215188501566,0,1,50,2.0215188501566
"Full","Reject","Yes",2,65,0.509230769230769,0.0207692307692308,0,1,50.9230769230769,2.07692307692308
"Full","Reject","Yes",3,65,0.527692307692308,0.019551176964829,0,1,52.7692307692308,1.9551176964829
"Full","Reject","Yes",4,65,0.495384615384615,0.0228320339687013,0,1,49.5384615384615,2.28320339687013
"Partial","Accept","No",1,56,0.407142857142857,0.0268300498880348,0,0.9,40.7142857142857,2.68300498880348
"Partial","Accept","No",2,56,0.380357142857143,0.0296538080225995,0,0.8,38.0357142857143,2.96538080225995
"Partial","Accept","No",3,56,0.382142857142857,0.0309069763546039,0,0.9,38.2142857142857,3.09069763546039
"Partial","Accept","No",4,56,0.346428571428571,0.029050368899717,0,0.8,34.6428571428571,2.9050368899717
"Partial","Accept","Yes",1,56,0.3875,0.0292839324766791,0,0.8,38.75,2.92839324766791
"Partial","Accept","Yes",2,56,0.367857142857143,0.0256230343379301,0,0.7,36.7857142857143,2.56230343379301
"Partial","Accept","Yes",3,56,0.369642857142857,0.0309922113023582,0,0.8,36.9642857142857,3.09922113023582
"Partial","Accept","Yes",4,56,0.325,0.0315456791039576,0,0.9,32.5,3.15456791039576
"Partial","Reject","No",1,56,0.473214285714286,0.0264195755135354,0.1,0.9,47.3214285714286,2.64195755135354
"Partial","Reject","No",2,56,0.401785714285714,0.0289974328721103,0,0.8,40.1785714285714,2.89974328721103
"Partial","Reject","No",3,56,0.396428571428571,0.0327291408454664,0,0.9,39.6428571428571,3.27291408454664
"Partial","Reject","No",4,56,0.378571428571429,0.0292452999569723,0,0.8,37.8571428571429,2.92452999569723
"Partial","Reject","Yes",1,56,0.478571428571429,0.0260760981407995,0,0.8,47.8571428571429,2.60760981407995
"Partial","Reject","Yes",2,56,0.466071428571429,0.0250034784222045,0.1,1,46.6071428571429,2.50034784222045
"Partial","Reject","Yes",3,56,0.473214285714286,0.0356289565065267,0,1,47.3214285714286,3.56289565065267
"Partial","Reject","Yes",4,56,0.439285714285714,0.0302241164811917,0,0.9,43.9285714285714,3.02241164811917
