task,model,n_participants,n_trials,draws,acc_mean,acc_median,acc_lo10,acc_hi90,acc_lo025,acc_hi975,iter,warmup,chains,elapsed_sec
FullcrossTimelimited,B1_three_parameter,65,40,1000,0.5387942307692307,0.5384615384615384,0.5261538461538462,0.551923076923077,0.5196057692307693,0.5576923076923077,1000,500,2,74.37849402427673
FulltickNoTimelimited,B1_three_parameter,65,40,1000,0.5326684615384616,0.5326923076923077,0.52,0.5454230769230769,0.5130673076923077,0.5515384615384615,1000,500,2,82.12110710144043
PartialcrossNoTimelimited,B1_three_parameter,56,40,1000,0.5775553571428571,0.578125,0.5633928571428571,0.5915178571428571,0.5553571428571429,0.5982254464285713,1000,500,2,67.84025001525879
PartialtickNoTimelimited,B1_three_parameter,56,40,1000,0.5798897321428571,0.5799107142857143,0.5660267857142857,0.59375,0.559375,0.60046875,1000,500,2,65.65100598335266
FullcrossTimelimited,B2_regret_4parameter,65,40,1000,0.5385446153846154,0.5388461538461539,0.5261538461538462,0.5507692307692308,0.52,0.5561634615384614,1000,500,2,135.99422693252563
FulltickNoTimelimited,B2_regret_4parameter,65,40,1000,0.5333115384615384,0.5334615384615384,0.5203846153846153,0.5454230769230769,0.5142307692307693,0.5526923076923077,1000,500,2,136.11927199363708
PartialcrossNoTimelimited,B2_regret_4parameter,56,40,1000,0.5793455357142857,0.5794642857142858,0.5665178571428572,0.5924107142857142,0.559375,0.5986607142857143,1000,500,2,123.40218305587769
PartialtickNoTimelimited,B2_regret_4parameter,56,40,1000,0.5807973214285714,0.5808035714285714,0.5669642857142857,0.5941964285714286,0.5602678571428571,0.6008928571428571,1000,500,2,149.7610080242157
FullcrossTimelimited,B3_five_parameter_bias_lapse,65,40,1000,0.540248076923077,0.54,0.5280769230769231,0.5527307692307692,0.5219230769230769,0.5611634615384615,1000,500,2,146.12486910820007
FulltickNoTimelimited,B3_five_parameter_bias_lapse,65,40,1000,0.533623076923077,0.5334615384615384,0.5215384615384615,0.5465384615384615,0.5134615384615384,0.552701923076923,1000,500,2,147.73506593704224
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,56,40,1000,0.587403125,0.5875,0.5741071428571428,0.6009375,0.5647321428571429,0.6080357142857142,1000,500,2,124.87620806694031
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,56,40,1000,0.5948107142857143,0.5950892857142858,0.58125,0.6084821428571429,0.5732142857142857,0.6147321428571428,1000,500,2,199.47316718101501
