task,model,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
FullcrossTimelimited,B3_five_parameter_bias_lapse,mu_alpha,0.649413389609298,0.008057671791521417,0.4255010550944498,-0.17080309423670667,0.3643332697797962,0.6550198821792523,0.9317326992052395,1.5131804324402243,2788.5737544337453,0.9993169665897116
FullcrossTimelimited,B3_five_parameter_bias_lapse,mu_beta,0.007157676670332332,0.009197143425357244,0.45687351488474176,-0.9642423307035821,-0.265204690512103,0.01993365381369344,0.2783296284296224,0.9666709610230069,2467.6641221089467,0.9998222514946233
FullcrossTimelimited,B3_five_parameter_bias_lapse,mu_gamma,0.06804598523824526,0.0043647347330242085,0.09879463390790982,-0.13330263271653742,0.0034355853324287483,0.06946493539386037,0.13390804777447024,0.2723803323369446,512.3314347148448,1.001096861939956
FullcrossTimelimited,B3_five_parameter_bias_lapse,mu_bias,0.06730549890568373,5.054880312716052e-4,0.02378715037105462,0.02145750708485654,0.05167614976900228,0.06626685133698908,0.08311561431736664,0.11652304884894088,2214.4357389453157,0.9986242256167893
FullcrossTimelimited,B3_five_parameter_bias_lapse,mu_lapse_logit,-2.6083001127906837,0.02642665045471854,0.9405634534435562,-4.424927446905811,-3.2522196471332903,-2.601564054840563,-1.9269714432346337,-0.8282067511645996,1266.7530507919646,0.9982506337567022
FullcrossTimelimited,B3_five_parameter_bias_lapse,sigma_alpha,0.36232216691782243,0.008931638073585556,0.2840544804604044,0.014842571149968346,0.12981254150275442,0.29978036126608476,0.5317374814566955,1.0439570063459664,1011.4421663260275,0.9985930302936905
FullcrossTimelimited,B3_five_parameter_bias_lapse,sigma_beta,0.38054429232447096,0.008962370305119845,0.2900464546455542,0.011474277089054599,0.15103869310145118,0.32685777320794995,0.5538439213722393,1.0450595200318975,1047.3440131029683,1.0000094622382483
FullcrossTimelimited,B3_five_parameter_bias_lapse,sigma_gamma,0.679192224293534,0.0036311729317321747,0.08781223770532369,0.5199729238221796,0.6207211489805226,0.6742437851672894,0.7356370895099857,0.8687824733113774,584.8119306811059,1.0122741627662268
FullcrossTimelimited,B3_five_parameter_bias_lapse,sigma_bias,0.03897454445153746,0.001336449401256929,0.029881761926325266,0.0015982772310547115,0.015314179469823547,0.03230172543291672,0.0559469154762158,0.10962217690110584,499.9278845223598,1.0004380139967166
FullcrossTimelimited,B3_five_parameter_bias_lapse,sigma_lapse,0.4583607965307651,0.011438541318962079,0.34424983623621425,0.02321400188750426,0.1892636090518975,0.3882468010542684,0.6491371568048891,1.2906417640460734,905.745518851117,1.0030178051420677
