task,model,parameter,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,mu_alpha,1.3474494881379087,0.013003200488335021,0.3625602203886408,0.6586583959468904,1.1030688821776726,1.3281843185630162,1.5824983790937817,2.04999106058095,777.4272995436858,1.0026740772053764
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,mu_beta,1.299539510621403,0.009958586297123654,0.3145374467187675,0.6626186284024436,1.101091707437127,1.2907449467435363,1.509089899463111,1.916968838354843,997.5836711281654,1.001376987485354
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,mu_gamma,0.34169152861877955,0.009434205705588783,0.11954624354976974,0.11375336070305794,0.26092689775294003,0.33380598691457825,0.41575053271187945,0.6072439645410359,160.5688086448584,1.0169951444878578
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,mu_bias,-0.04609139116706586,0.0017289477105883458,0.041492672956774106,-0.12689861806353353,-0.0732002909996575,-0.04571486553340011,-0.01651269251809702,0.03331330401697,575.9424747268786,0.9988988454177754
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,mu_lapse_logit,-3.071177408769585,0.019824374606964786,0.7183883731037938,-4.565319292531934,-3.5177756817951913,-3.029273803600306,-2.5797971486388573,-1.7556178975776782,1313.1659052112766,0.9990155775996541
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,sigma_alpha,0.404582951867513,0.012504118328584703,0.30597012041065025,0.01411324261390927,0.15511775073881273,0.3529484201710209,0.588606029424992,1.0854591872938948,598.7587666891316,1.0002219661603637
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,sigma_beta,0.28780584497538025,0.008910480381005271,0.2086878360910654,0.014736089754654156,0.12114949547664086,0.2512128352228166,0.4154642567365628,0.795952207757631,548.519453993856,1.0010326997241035
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,sigma_gamma,0.735410293976105,0.004801832981651284,0.09511867920437046,0.5529471122160925,0.668444643666073,0.7329928882314214,0.7970137385157856,0.9236991052295933,392.38963031668806,1.0011784668930035
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,sigma_bias,0.2357188424376719,0.002668823878705712,0.04968625396727798,0.14970732080681454,0.20068754645132758,0.23224036231848988,0.2684751847676397,0.3415582434552319,346.60328964627325,1.0020023004102836
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,sigma_lapse,0.4048632683457735,0.00894326626053065,0.2985135458488401,0.021284713863923665,0.16594692775574388,0.3462138454085635,0.5850592132143727,1.095684806153774,1114.1297335232034,0.9991360994534483
