task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,1,0.534,0.525,0.425,0.625
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,2,0.52335,0.525,0.425,0.625
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,3,0.5329,0.525,0.425,0.625
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,4,0.867675,0.875,0.775,0.95
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,5,0.533725,0.525,0.425,0.65
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,6,0.5024,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,7,0.516375,0.525,0.425,0.6025000000000006
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,8,0.49995,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,9,0.52345,0.525,0.425,0.625
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,10,0.502825,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,11,0.870075,0.875,0.775,0.95
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,12,0.502075,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,13,0.505225,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,14,0.50605,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,15,0.50845,0.5,0.4,0.6025000000000006
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,16,0.496925,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,17,0.501625,0.5,0.4,0.6
FullcrossTimelimited,B1_three_parameter,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,18,0.70945,0.725,0.6,0.8
