task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,1,0.50925,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,2,0.514175,0.525,0.425,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,3,0.505675,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,4,0.840125,0.85,0.75,0.925
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,5,0.5075,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,6,0.5276,0.525,0.425,0.625
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,7,0.506925,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,8,0.500225,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,9,0.542325,0.55,0.45,0.65
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,10,0.501425,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,11,0.5091,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,12,0.498425,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,13,0.559375,0.55,0.45,0.65
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,14,0.508275,0.5,0.4,0.6
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,15,0.585075,0.575,0.475,0.675
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,16,0.5811,0.575,0.475,0.675
FulltickNoTimelimited,B2_regret_4parameter,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,17,0.51245,0.5,0.425,0.625
