task,model,participant_id,participant_index,acc_mean,acc_median,acc_lo10,acc_hi90
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_10h50.23.175.csv,1,0.5294,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.27.412.csv,2,0.52585,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.36.663.csv,3,0.53385,0.525,0.425,0.65
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.48.381.csv,4,0.867575,0.875,0.775,0.95
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_13h57.55.659.csv,5,0.53385,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.13.740.csv,6,0.502575,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.50.272.csv,7,0.51425,0.525,0.4,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_14h35.55.754.csv,8,0.5002,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h13.22.716.csv,9,0.5332,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.47.201.csv,10,0.504075,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h54.53.378.csv,11,0.85645,0.875,0.75,0.925
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.00.190.csv,12,0.504825,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_15h55.08.707.csv,13,0.50295,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h35.37.508.csv,14,0.5045,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h36.05.342.csv,15,0.5119,0.525,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_16h37.02.72.csv,16,0.499325,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-24_17h18.18.20.csv,17,0.502,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_09h46.35.938.csv,18,0.7029,0.7,0.6,0.8
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h17.44.482.csv,19,0.538525,0.55,0.45,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h18.33.907.csv,20,0.5245,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_10h34.27.259.csv,21,0.529425,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h42.55.429.csv,22,0.6091,0.625,0.5,0.7
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h44.40.392.csv,23,0.505725,0.5,0.4,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_11h48.02.587.csv,24,0.657675,0.65,0.55,0.75
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h23.53.752.csv,25,0.50835,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.02.619.csv,26,0.588275,0.6,0.475,0.7
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_12h24.58.522.csv,27,0.505325,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.38.296.csv,28,0.508525,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h14.43.724.csv,29,0.5312,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h16.18.617.csv,30,0.5458,0.55,0.45,0.65
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h51.56.59.csv,31,0.519075,0.525,0.4,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_13h56.52.788.csv,32,0.513225,0.525,0.425,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.23.995.csv,33,0.65425,0.65,0.55,0.75
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.31.848.csv,34,0.499675,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_15h23.39.464.csv,35,0.511225,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h35.04.300.csv,36,0.502925,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-26_16h39.13.99.csv,37,0.582175,0.575,0.5,0.675
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h24.57.802.csv,38,0.524825,0.525,0.425,0.625
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.01.906.csv,39,0.50145,0.5,0.4,0.6
FullcrossTimelimited,B3_five_parameter_bias_lapse,Mega_project_PARTICIPANT_SESSION_2025-11-28_10h25.48.286.csv,40,0.5407,0.55,0.45,0.65
