task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
PartialcrossNoTimelimited,B1_three_parameter,1,0.49864285714285717,0.5,0.4107142857142857,0.5892857142857143
PartialcrossNoTimelimited,B1_three_parameter,2,0.6000714285714286,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,3,0.5198214285714285,0.5178571428571429,0.44642857142857145,0.6071428571428571
PartialcrossNoTimelimited,B1_three_parameter,4,0.548125,0.5446428571428572,0.4803571428571429,0.625
PartialcrossNoTimelimited,B1_three_parameter,5,0.5572678571428571,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B1_three_parameter,6,0.5499642857142857,0.5535714285714286,0.4642857142857143,0.625
PartialcrossNoTimelimited,B1_three_parameter,7,0.5539285714285714,0.5535714285714286,0.4642857142857143,0.6428571428571429
PartialcrossNoTimelimited,B1_three_parameter,8,0.5886785714285714,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,9,0.5407678571428571,0.5357142857142857,0.4642857142857143,0.625
PartialcrossNoTimelimited,B1_three_parameter,10,0.5698928571428572,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B1_three_parameter,11,0.5905357142857143,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,12,0.5718928571428571,0.5714285714285714,0.48214285714285715,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,13,0.5635892857142857,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B1_three_parameter,14,0.5955178571428571,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,15,0.5790178571428571,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,16,0.5934464285714286,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,17,0.6025178571428571,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,18,0.6023035714285714,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,19,0.6018035714285714,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,20,0.6056964285714286,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,21,0.6096785714285714,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,22,0.6033571428571428,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,23,0.6325892857142857,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,B1_three_parameter,24,0.5966964285714286,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,25,0.5922857142857143,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,26,0.5885714285714285,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,27,0.5886071428571429,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,28,0.5499107142857143,0.5535714285714286,0.4642857142857143,0.625
PartialcrossNoTimelimited,B1_three_parameter,29,0.590875,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,30,0.5887321428571428,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,31,0.5926428571428571,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,32,0.5700892857142857,0.5714285714285714,0.48214285714285715,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,33,0.57816071428571425,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,34,0.6046607142857143,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,B1_three_parameter,35,0.5792678571428571,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,36,0.5674107142857143,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B1_three_parameter,37,0.564625,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B1_three_parameter,38,0.5379285714285714,0.5357142857142857,0.4642857142857143,0.625
PartialcrossNoTimelimited,B1_three_parameter,39,0.5780178571428571,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B1_three_parameter,40,0.554625,0.5535714285714286,0.48214285714285715,0.6428571428571429
