task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
FullcrossTimelimited,B2_regret_4parameter,1,0.4965846153846154,0.49230769230769234,0.4153846153846154,0.5692307692307692
FullcrossTimelimited,B2_regret_4parameter,2,0.5592923076923076,0.5538461538461539,0.47692307692307695,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,3,0.5544923076923077,0.5538461538461539,0.47692307692307695,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,4,0.545723076923077,0.5538461538461539,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,5,0.5405692307692308,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,6,0.5395384615384615,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,7,0.528,0.5230769230769231,0.4461538461538462,0.6
FullcrossTimelimited,B2_regret_4parameter,8,0.5426153846153846,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,9,0.5446153846153846,0.5384615384615384,0.46153846153846156,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,10,0.5418923076923077,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,11,0.5312,0.5307692307692308,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,12,0.5320769230769231,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,13,0.5327076923076923,0.5384615384615384,0.46153846153846156,0.6
FullcrossTimelimited,B2_regret_4parameter,14,0.5419538461538461,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,15,0.5432153846153847,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,16,0.5388307692307692,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,17,0.5336307692307692,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,18,0.5378461538461539,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,19,0.5292,0.5230769230769231,0.4461538461538462,0.6
FullcrossTimelimited,B2_regret_4parameter,20,0.5510307692307692,0.5538461538461539,0.47692307692307695,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,21,0.5371076923076923,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,22,0.5280769230769231,0.5384615384615384,0.4461538461538462,0.6
FullcrossTimelimited,B2_regret_4parameter,23,0.5446153846153846,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,24,0.5562615384615385,0.5538461538461539,0.47692307692307695,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,25,0.5412461538461538,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,26,0.5122,0.5076923076923077,0.4307692307692308,0.5846153846153846
FullcrossTimelimited,B2_regret_4parameter,27,0.5456461538461539,0.5538461538461539,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,28,0.5310461538461538,0.5230769230769231,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,29,0.543723076923077,0.5384615384615384,0.47692307692307695,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,30,0.5558,0.5538461538461539,0.47692307692307695,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,31,0.535,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,32,0.5397692307692308,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,33,0.5442923076923077,0.5538461538461539,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,34,0.5451692307692307,0.5384615384615384,0.46153846153846156,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,35,0.5497692307692308,0.5538461538461539,0.47692307692307695,0.6307692307692307
FullcrossTimelimited,B2_regret_4parameter,36,0.5240615384615385,0.5230769230769231,0.4461538461538462,0.6
FullcrossTimelimited,B2_regret_4parameter,37,0.5347538461538461,0.5307692307692308,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,38,0.5384769230769231,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,39,0.5376307692307692,0.5384615384615384,0.46153846153846156,0.6153846153846154
FullcrossTimelimited,B2_regret_4parameter,40,0.5321230769230769,0.5384615384615384,0.4461538461538462,0.6153846153846154
