task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
PartialcrossNoTimelimited,B2_regret_4parameter,1,0.49944642857142857,0.5,0.4107142857142857,0.5714285714285714
PartialcrossNoTimelimited,B2_regret_4parameter,2,0.6092678571428571,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B2_regret_4parameter,3,0.5253392857142857,0.5357142857142857,0.44642857142857145,0.6071428571428571
PartialcrossNoTimelimited,B2_regret_4parameter,4,0.5545178571428572,0.5535714285714286,0.4803571428571429,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,5,0.56125,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,6,0.5500357142857143,0.5535714285714286,0.4642857142857143,0.625
PartialcrossNoTimelimited,B2_regret_4parameter,7,0.556625,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,8,0.5953214285714286,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,9,0.5423571428571429,0.5535714285714286,0.44642857142857145,0.625
PartialcrossNoTimelimited,B2_regret_4parameter,10,0.5689821428571429,0.5714285714285714,0.48214285714285715,0.6446428571428575
PartialcrossNoTimelimited,B2_regret_4parameter,11,0.5895535714285715,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,12,0.5760714285714286,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,13,0.5666071428571429,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,14,0.5945714285714285,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,15,0.5823571428571429,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,16,0.5933035714285714,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,17,0.6027857142857143,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,18,0.6078392857142857,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B2_regret_4parameter,19,0.6009821428571429,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,20,0.6059642857142857,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,21,0.6115714285714285,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,22,0.6017678571428572,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,23,0.6392857142857142,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,B2_regret_4parameter,24,0.6031964285714285,0.6071428571428571,0.5178571428571429,0.6964285714285714
PartialcrossNoTimelimited,B2_regret_4parameter,25,0.59225,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,26,0.5849107142857143,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,27,0.5881964285714286,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,28,0.5491607142857143,0.5535714285714286,0.4642857142857143,0.625
PartialcrossNoTimelimited,B2_regret_4parameter,29,0.5880892857142858,0.5892857142857143,0.5,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,30,0.5890535714285714,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,31,0.5938928571428571,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B2_regret_4parameter,32,0.5693035714285715,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,33,0.5789285714285715,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,34,0.6070892857142857,0.6071428571428571,0.5339285714285715,0.6964285714285714
PartialcrossNoTimelimited,B2_regret_4parameter,35,0.5765,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,36,0.5693214285714285,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,37,0.5646964285714285,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B2_regret_4parameter,38,0.5443571428571429,0.5357142857142857,0.4642857142857143,0.625
PartialcrossNoTimelimited,B2_regret_4parameter,39,0.5807857142857142,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B2_regret_4parameter,40,0.5582857142857143,0.5535714285714286,0.48214285714285715,0.6267857142857147
