task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
PartialtickNoTimelimited,B2_regret_4parameter,1,0.4979821428571429,0.5,0.4107142857142857,0.5714285714285714
PartialtickNoTimelimited,B2_regret_4parameter,2,0.616,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B2_regret_4parameter,3,0.5839107142857143,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,4,0.5785178571428572,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,5,0.6216071428571428,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B2_regret_4parameter,6,0.5662321428571429,0.5714285714285714,0.49821428571428583,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,7,0.5922142857142857,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,8,0.5706071428571429,0.5714285714285714,0.5,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,9,0.5645,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,10,0.5934285714285714,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,11,0.5629285714285714,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,12,0.5966071428571429,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,13,0.5728571428571428,0.5714285714285714,0.48214285714285715,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,14,0.5861785714285714,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,15,0.6010714285714286,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,16,0.6090535714285714,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B2_regret_4parameter,17,0.6174107142857143,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B2_regret_4parameter,18,0.5361964285714286,0.5357142857142857,0.46250000000000013,0.625
PartialtickNoTimelimited,B2_regret_4parameter,19,0.5735,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,20,0.5607321428571429,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,21,0.5869642857142857,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,22,0.5987678571428572,0.5892857142857143,0.5339285714285715,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,23,0.6048392857142857,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,24,0.5807857142857142,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,25,0.5988035714285714,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,26,0.5662142857142857,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,27,0.5665535714285714,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,28,0.5428214285714286,0.5446428571428572,0.4642857142857143,0.625
PartialtickNoTimelimited,B2_regret_4parameter,29,0.57575,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,30,0.5827321428571428,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,31,0.5791428571428572,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,32,0.5599642857142857,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,33,0.5891071428571428,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,34,0.5847321428571428,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,35,0.5658035714285714,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B2_regret_4parameter,36,0.5986964285714286,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,37,0.5799464285714285,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B2_regret_4parameter,38,0.6045714285714285,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,39,0.5908928571428571,0.5892857142857143,0.5,0.6785714285714286
PartialtickNoTimelimited,B2_regret_4parameter,40,0.5732678571428571,0.5714285714285714,0.48214285714285715,0.6607142857142857
