task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,1,0.5008928571428571,0.5,0.4107142857142857,0.5892857142857143
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,2,0.589875,0.5892857142857143,0.5,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,3,0.5411428571428571,0.5357142857142857,0.4642857142857143,0.625
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,4,0.5555357142857142,0.5535714285714286,0.48214285714285715,0.6267857142857147
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,5,0.5670535714285714,0.5714285714285714,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,6,0.5560178571428571,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,7,0.5689107142857143,0.5714285714285714,0.48214285714285715,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,8,0.5769285714285715,0.5714285714285714,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,9,0.5515357142857142,0.5535714285714286,0.48214285714285715,0.625
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,10,0.584125,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,11,0.5918035714285714,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,12,0.5934821428571428,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,13,0.5703035714285715,0.5714285714285714,0.5,0.6428571428571429
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,14,0.6031071428571428,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,15,0.585375,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,16,0.6089285714285714,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,17,0.6014464285714286,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,18,0.6091964285714285,0.6071428571428571,0.5178571428571429,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,19,0.6115535714285715,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,20,0.6194642857142857,0.625,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,21,0.6183214285714286,0.625,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,22,0.6127857142857143,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,23,0.6381964285714286,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,24,0.6049642857142857,0.6071428571428571,0.5339285714285715,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,25,0.5957321428571428,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,26,0.6043214285714286,0.6071428571428571,0.5339285714285715,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,27,0.5943928571428572,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,28,0.5675714285714286,0.5714285714285714,0.5,0.6428571428571429
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,29,0.5921428571428572,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,30,0.6175178571428571,0.625,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,31,0.6013571428571428,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,32,0.5906964285714286,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,33,0.5940892857142858,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,34,0.6219285714285714,0.625,0.5357142857142857,0.6964285714285714
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,35,0.58525,0.5892857142857143,0.5160714285714287,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,36,0.5807678571428572,0.5803571428571428,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,37,0.5828214285714286,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,38,0.5591071428571429,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,39,0.5810178571428571,0.5892857142857143,0.5,0.6607142857142857
PartialcrossNoTimelimited,B3_five_parameter_bias_lapse,40,0.5664642857142858,0.5714285714285714,0.5,0.6428571428571429
