task,model,trial,acc_mean,acc_median,acc_lo10,acc_hi90
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,1,0.4840535714285714,0.48214285714285715,0.39285714285714285,0.5714285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,2,0.5969464285714285,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,3,0.5709285714285715,0.5714285714285714,0.48214285714285715,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,4,0.5889464285714285,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,5,0.6133392857142858,0.6071428571428571,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,6,0.5620892857142857,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,7,0.6307321428571429,0.625,0.5535714285714286,0.7142857142857143
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,8,0.598875,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,9,0.5574821428571428,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,10,0.6052142857142857,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,11,0.5880535714285714,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,12,0.6150357142857142,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,13,0.5964107142857142,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,14,0.603625,0.6071428571428571,0.5357142857142857,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,15,0.596375,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,16,0.6081964285714285,0.6071428571428571,0.5178571428571429,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,17,0.63325,0.6428571428571429,0.5535714285714286,0.7142857142857143
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,18,0.5396428571428572,0.5357142857142857,0.4642857142857143,0.6071428571428571
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,19,0.5741428571428572,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,20,0.5963214285714286,0.5982142857142857,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,21,0.619875,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,22,0.6176428571428572,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,23,0.6195714285714286,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,24,0.5736071428571429,0.5714285714285714,0.5,0.6428571428571429
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,25,0.6235892857142857,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,26,0.5879107142857143,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,27,0.559625,0.5535714285714286,0.48214285714285715,0.6428571428571429
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,28,0.5885714285714285,0.5892857142857143,0.5178571428571429,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,29,0.6028214285714286,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,30,0.5941785714285714,0.5892857142857143,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,31,0.5994821428571429,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,32,0.587875,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,33,0.5988214285714286,0.6071428571428571,0.5178571428571429,0.6785714285714286
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,34,0.6245535714285714,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,35,0.5784821428571428,0.5714285714285714,0.5,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,36,0.6244285714285714,0.625,0.5535714285714286,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,37,0.5845357142857143,0.5892857142857143,0.5,0.6607142857142857
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,38,0.6260535714285714,0.625,0.5357142857142857,0.7142857142857143
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,39,0.623125,0.625,0.5357142857142857,0.6964285714285714
PartialtickNoTimelimited,B3_five_parameter_bias_lapse,40,0.5980178571428572,0.5892857142857143,0.5178571428571429,0.6785714285714286
