task,model,n_rows,n_participants,accuracy,log_loss,AIC,BIC,singular
FullcrossTimelimited,M1_glm_linear,2600,65,0.553076923076923,0.6886028037831283,3588.734579672267,3612.1876465683054,NA
FullcrossTimelimited,M2_glmer_random_intercept,2600,65,0.5807692307692308,0.667273870620031,3568.8258018311967,3598.1421354512445,FALSE
FullcrossTimelimited,M3_glmer_nonlinear_interaction,2600,65,0.5742307692307692,0.6656710992650833,3564.5637269804206,3605.6065940484878,FALSE
FulltickNoTimelimited,M1_glm_linear,2600,65,0.5442307692307692,0.6881592831933657,3586.428272605502,3609.8813395015404,NA
FulltickNoTimelimited,M2_glmer_random_intercept,2600,65,0.5846153846153846,0.6742575991315223,3578.6023123061173,3607.918645926165,FALSE
FulltickNoTimelimited,M3_glmer_nonlinear_interaction,2600,65,0.5823076923076923,0.673765687678609,3580.2481659199047,3621.291032987972,FALSE
PartialcrossNoTimelimited,M1_glm_linear,2240,56,0.6080357142857142,0.6476107709806039,2909.296253993106,2932.1531785725024,NA
PartialcrossNoTimelimited,M2_glmer_random_intercept,2240,56,0.6321428571428571,0.6131134466530864,2864.636381568787,2893.207537293032,FALSE
PartialcrossNoTimelimited,M3_glmer_nonlinear_interaction,2240,56,0.634375,0.6101121950623988,2852.6479647681263,2892.64758278207,FALSE
PartialtickNoTimelimited,M1_glm_linear,2240,56,0.6102678571428571,0.6422516250582916,2885.2872802611464,2908.144204840543,NA
PartialtickNoTimelimited,M2_glmer_random_intercept,2240,56,0.6776785714285715,0.5865593673417755,2778.6822971440833,2807.2534528683286,FALSE
PartialtickNoTimelimited,M3_glmer_nonlinear_interaction,2240,56,0.6763392857142857,0.5866948994627262,2782.3920725716325,2822.3916905855763,FALSE
