model_id,model_label,effect,contrast,parameter,mean_a,mean_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,posterior_tail_p
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,Choice Frame,Accept - Reject,gamma,-0.03778095960975318,0.11300905091522352,-0.1507900105249767,-0.2832747636555755,-0.021490778881046356,FALSE,Below 0,0.026
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,Time Pressure,TP - No TP,gamma,0.15540350812977544,-0.08017541682430511,0.23557892495408056,0.11395629792359857,0.37863203927957456,FALSE,Above 0,5e-4
modelB_decay,Model B: Decay-RL + Stickiness,Choice Frame,Accept - Reject,gamma,0.022800332045350164,0.1372974997844086,-0.11449716773905845,-0.1918594185742984,-0.03624105454884665,FALSE,Below 0,0.006
modelB_decay,Model B: Decay-RL + Stickiness,Feedback,Full - Partial,beta,2.976983777361809,7.8057700133429755,-4.828786235981166,-7.155710163661972,-2.7364876567791554,FALSE,Below 0,5e-4
modelB_decay,Model B: Decay-RL + Stickiness,Feedback,Full - Partial,gamma,0.019473328153623848,0.14062450367613494,-0.12115117552251109,-0.1966908997687466,-0.04519009881950557,FALSE,Below 0,0.001
modelB_decay,Model B: Decay-RL + Stickiness,Time Pressure,TP - No TP,gamma,0.16292316396789175,-0.0028253321381329585,0.1657484961060247,0.08769147805964314,0.24464285842647332,FALSE,Above 0,0
modelC_hybrid,Model C: Hybrid RL + BMT features,Choice Frame,Accept - Reject,gamma,0.0013930970659764143,0.12277550468920816,-0.12138240762323174,-0.19866384879372243,-0.045293324920194604,FALSE,Below 0,0.0015
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,beta_Q,2.242357267756252,5.349933343705256,-3.1075760759490048,-4.182532828563571,-2.142347482548386,FALSE,Below 0,0
modelC_hybrid,Model C: Hybrid RL + BMT features,Feedback,Full - Partial,gamma,0.018432190895574532,0.10573641085961004,-0.0873042199640355,-0.16374390225462068,-0.010980108585644072,FALSE,Below 0,0.0275
modelC_hybrid,Model C: Hybrid RL + BMT features,Time Pressure,TP - No TP,gamma,0.14118524131104832,-0.017016639555863747,0.15820188086691206,0.08124275018220704,0.23560006939562056,FALSE,Above 0,0
