model_id,model_label,parameter,task_a,task_b,diff_mean,diff_hdi95_lo,diff_hdi95_hi,hdi95_crosses_zero,hdi95_direction,posterior_tail_p
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_pos,FulltickTimelimited,PartialtickNoTimelimited,0.2266084351716376,0.06714404155095813,0.3822265480042494,FALSE,Above 0,0.006
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_pos,FullcrossNoTimelimited,PartialtickNoTimelimited,0.19584078448579095,0.023756259292717248,0.36766381202194864,FALSE,Above 0,0.024
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,alpha_pos,PartialcrossNoTimelimited,PartialtickNoTimelimited,0.2291709196077305,0.025559070626824776,0.3974958406674604,FALSE,Above 0,0.0285
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,gamma,PartialcrossTimelimited,PartialtickNoTimelimited,0.586596438606336,0.32646577305148605,0.8975107627905816,FALSE,Above 0,0
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,gamma,FulltickNoTimelimited,PartialcrossTimelimited,-0.5547418883794144,-0.8887827031709814,-0.30875825389896594,FALSE,Below 0,0
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,gamma,PartialcrossTimelimited,PartialtickTimelimited,0.4830982593085994,0.21898108484455484,0.7988817649060969,FALSE,Above 0,0
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,gamma,FullcrossNoTimelimited,PartialcrossTimelimited,-0.544227402007397,-0.8949749649795252,-0.28214251152771996,FALSE,Below 0,5e-4
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,gamma,PartialcrossNoTimelimited,PartialcrossTimelimited,-0.40637451146733183,-0.7068498387528697,-0.16000436233799606,FALSE,Below 0,0.0015
modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,gamma,FulltickTimelimited,PartialtickNoTimelimited,0.2886706132984143,0.05710659296294027,0.6115824337974874,FALSE,Above 0,0.0155
modelB_decay,Model B: Decay-RL + Stickiness,beta,FullcrossNoTimelimited,PartialtickNoTimelimited,-7.019297360747904,-11.74864543464826,-2.967601936354464,FALSE,Below 0,0.0065
