stage,model_id,model_label,top1_accuracy,iter,warmup,chains,adapt_delta,max_treedepth,elapsed_sec,note,task,feedback,time_pressure,frame,draws,n_obs,n_participants,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,n_divergent,n_max_treedepth,max_rhat,min_n_eff
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6503846153846153,2000,1000,4,0.97,12,692.9835369586945,,FullcrossNoTimelimited,Full,No TP,Reject,4000,2600,65,40,-1664.9843652930444,15.486395578929292,3329.968730586089,81.91723573603699,-1664.681346663936,15.480722457695679,3329.362693327872,81.61421710692812,65,65,0,0,1.0470127349805027,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6480769230769231,2000,1000,4,0.97,12,623.1888499259949,,FullcrossTimelimited,Full,TP,Reject,4000,2600,65,40,-1661.1372220851129,15.162364743878527,3322.2744441702257,82.56250244096933,-1660.77809680472,15.156512233615345,3321.55619360944,82.2033771605787,66,65,0,0,1.0212923697041982,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6661538461538462,2000,1000,4,0.97,12,751.5493562221527,,FulltickNoTimelimited,Full,No TP,Accept,4000,2600,65,40,-1663.0621943056394,15.40345571869209,3326.124388611279,86.15569215464274,-1662.6407461297322,15.394328969557545,3325.2814922594644,85.73424397873565,65,65,0,0,1.0132655218895483,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6823076923076923,2000,1000,4,0.97,12,787.248960018158,,FulltickTimelimited,Full,TP,Accept,4000,2600,65,40,-1613.1385536096693,17.616794032438115,3226.2771072193386,91.35707142549109,-1612.7488058292533,17.609299720462484,3225.4976116585067,90.96732364507267,65,65,0,0,1.026288752102301,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7044642857142858,2000,1000,4,0.97,12,573.4904108047485,,PartialcrossNoTimelimited,Partial,No TP,Reject,4000,2240,56,40,-1296.178576949357,19.274983182024872,2592.357153898714,82.63551323581608,-1295.5892577436136,19.260974534224292,2591.1785154872273,82.04619403007234,57,56,0,0,1.0075859304613886,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7160714285714286,2000,1000,4,0.97,12,845.5619690418243,,PartialcrossTimelimited,Partial,TP,Reject,4000,2240,56,40,-1348.8751245843557,18.831507237776876,2697.7502491687114,89.70027001949612,-1348.5918855524321,18.833495870752902,2697.1837711048643,89.41703098757145,56,56,0,0,1.0155011526267888,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7357142857142858,2000,1000,4,0.97,12,550.5123960971832,,PartialtickNoTimelimited,Partial,No TP,Accept,4000,2240,56,40,-1243.7789904663398,21.18103583272708,2487.5579809326796,97.62416152364979,-1243.0934410614072,21.1649036683584,2486.1868821228145,96.93861211871824,56,56,0,0,1.0245667561065057,2.003004506760122
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.74375,2000,1000,4,0.97,12,414.0096879005432,,PartialtickTimelimited,Partial,TP,Accept,4000,2240,56,40,-1216.1677081475223,22.34796724367327,2432.3354162950445,85.14169135303496,-1215.7060204403074,22.33827393586803,2431.4120408806148,84.68000364582122,56,56,0,0,1.0035081872077323,2.003004506760122
full,modelB_decay,Model B: Decay-RL + Stickiness,0.6511538461538462,2000,1000,4,0.99,14,915.6574940681458,pilot_flagged_control_upgraded,FullcrossNoTimelimited,Full,No TP,Reject,4000,2600,65,40,-1664.8886222705612,15.735094192748141,3329.7772445411224,78.98955485173364,-1664.441355786273,15.712122779028427,3328.882711572546,78.54228836744927,65,65,0,0,1.0073037136541618,2.011018666182851
full,modelB_decay,Model B: Decay-RL + Stickiness,0.6442307692307693,2000,1000,4,0.99,14,895.7240569591522,pilot_flagged_control_upgraded,FullcrossTimelimited,Full,TP,Reject,4000,2600,65,40,-1661.5655145313242,15.29395129053375,3323.1310290626484,77.85803137357225,-1661.1551012032457,15.278575393729842,3322.3102024064915,77.4476180454965,65,65,0,0,1.0086155067682576,2.009301229389867
full,modelB_decay,Model B: Decay-RL + Stickiness,0.661923076923077,2000,1000,4,0.99,14,430.3973739147186,pilot_flagged_control_upgraded,FulltickNoTimelimited,Full,No TP,Accept,4000,2600,65,40,-1660.543878501605,15.64629696261149,3321.08775700321,79.69369778823912,-1660.1251026221394,15.632234948457802,3320.2502052442787,79.27492190877484,65,65,0,0,1.018149459043582,2.011491503609833
full,modelB_decay,Model B: Decay-RL + Stickiness,0.6792307692307692,2000,1000,4,0.99,14,511.4882321357727,pilot_flagged_control_upgraded,FulltickTimelimited,Full,TP,Accept,4000,2600,65,40,-1613.8419436194088,17.59995980006284,3227.6838872388175,85.01597553130757,-1613.3062318183697,17.575103246023247,3226.6124636367394,84.48026373026802,65,65,0,0,1.0067817309064038,2.0111783544678032
