stage,model_id,model_label,task,feedback,time_pressure,frame,top1_accuracy,draws,n_obs,n_participants,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,n_divergent,n_max_treedepth,max_rhat,min_n_eff,elapsed_sec,note
benchmark,delta3_benchmark,Benchmark: Delta3,FullcrossNoTimelimited,Full,No TP,Reject,0.6523076923076923,4000,2600,65,40,-1664.3222684690552,15.722316072229729,3328.6445369381104,78.0253042948454,-1663.9093080066268,15.702434248339667,3327.8186160132536,77.61234383241269,65,65,0,0,1.0059790573652134,2.010015200372384,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,FullcrossTimelimited,Full,TP,Reject,0.6461538461538462,4000,2600,65,40,-1661.8547093441946,15.272737687567881,3323.709418688389,77.8788252231911,-1661.3835744359549,15.252164925648243,3322.7671488719097,77.40769031494972,65,65,0,0,1.0108217244824418,2.0083308300670533,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,FulltickNoTimelimited,Full,No TP,Accept,0.6634615384615384,4000,2600,65,40,-1660.5369336225442,15.629779600439226,3321.0738672450884,79.9489649874402,-1660.0893567841347,15.614126027581717,3320.1787135682694,79.50138814903008,65,65,0,0,1.0083351445453876,2.009705751998286,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,FulltickTimelimited,Full,TP,Accept,0.6776923076923077,4000,2600,65,40,-1614.6180377354765,17.618587692908772,3229.236075470953,85.38310709681595,-1614.091424703838,17.595160472346713,3228.182849407676,84.85649406517722,65,65,0,0,1.0071413156988807,2.0103103441187082,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,PartialcrossNoTimelimited,Partial,No TP,Reject,0.7022321428571429,4000,2240,56,40,-1300.5218618088386,19.153157781250364,2601.043723617677,72.36631630229574,-1299.8311398461503,19.10900280975984,2599.6622796923007,71.67559433960868,56,56,0,0,1.008572957013357,2.0086643565324116,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,PartialcrossTimelimited,Partial,TP,Reject,0.7071428571428572,4000,2240,56,40,-1355.7411625077016,18.615514081154274,2711.482325015403,77.75908534661862,-1355.019987868762,18.57512645218605,2710.039975737524,77.0379107076775,57,56,0,0,1.0488829323959403,2.0143244489931966,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,PartialtickNoTimelimited,Partial,No TP,Accept,0.715625,4000,2240,56,40,-1258.5353605858406,20.869775621587433,2517.0707211716813,75.59054339373516,-1257.7492963372124,20.814873131915796,2515.498592674425,74.80447914510712,56,56,0,0,1.0085932616712878,2.014249623648969,NA,
benchmark,delta3_benchmark,Benchmark: Delta3,PartialtickTimelimited,Partial,TP,Accept,0.7397321428571428,4000,2240,56,40,-1219.0487173746685,22.316880177491793,2438.097434749337,74.2662396091816,-1218.1860097056165,22.251496422980342,2436.372019411233,73.40353194012347,57,56,0,0,1.0082113341897605,2.015608737191707,NA,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,FullcrossNoTimelimited,Full,No TP,Reject,0.6503846153846153,4000,2600,65,40,-1664.9843652930444,15.486395578929292,3329.968730586089,81.91723573603699,-1664.681346663936,15.480722457695679,3329.362693327872,81.61421710692812,65,65,0,0,1.0470127349805027,2.003004506760122,692.9835369586945,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,FullcrossTimelimited,Full,TP,Reject,0.6480769230769231,4000,2600,65,40,-1661.1372220851129,15.162364743878527,3322.2744441702257,82.56250244096933,-1660.77809680472,15.156512233615345,3321.55619360944,82.2033771605787,66,65,0,0,1.0212923697041982,2.003004506760122,623.1888499259949,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,FulltickNoTimelimited,Full,No TP,Accept,0.6661538461538462,4000,2600,65,40,-1663.0621943056394,15.40345571869209,3326.124388611279,86.15569215464274,-1662.6407461297322,15.394328969557545,3325.2814922594644,85.73424397873565,65,65,0,0,1.0132655218895483,2.003004506760122,751.5493562221527,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,FulltickTimelimited,Full,TP,Accept,0.6823076923076923,4000,2600,65,40,-1613.1385536096693,17.616794032438115,3226.2771072193386,91.35707142549109,-1612.7488058292533,17.609299720462484,3225.4976116585067,90.96732364507267,65,65,0,0,1.026288752102301,2.003004506760122,787.248960018158,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialcrossNoTimelimited,Partial,No TP,Reject,0.7044642857142858,4000,2240,56,40,-1296.178576949357,19.274983182024872,2592.357153898714,82.63551323581608,-1295.5892577436136,19.260974534224292,2591.1785154872273,82.04619403007234,57,56,0,0,1.0075859304613886,2.003004506760122,573.4904108047485,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialcrossTimelimited,Partial,TP,Reject,0.7160714285714286,4000,2240,56,40,-1348.8751245843557,18.831507237776876,2697.7502491687114,89.70027001949612,-1348.5918855524321,18.833495870752902,2697.1837711048643,89.41703098757145,56,56,0,0,1.0155011526267888,2.003004506760122,845.5619690418243,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickNoTimelimited,Partial,No TP,Accept,0.7357142857142858,4000,2240,56,40,-1243.7789904663398,21.18103583272708,2487.5579809326796,97.62416152364979,-1243.0934410614072,21.1649036683584,2486.1868821228145,96.93861211871824,56,56,0,0,1.0245667561065057,2.003004506760122,550.5123960971832,
full,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,PartialtickTimelimited,Partial,TP,Accept,0.74375,4000,2240,56,40,-1216.1677081475223,22.34796724367327,2432.3354162950445,85.14169135303496,-1215.7060204403074,22.33827393586803,2431.4120408806148,84.68000364582122,56,56,0,0,1.0035081872077323,2.003004506760122,414.0096879005432,
full,modelB_decay,Model B: Decay-RL + Stickiness,FullcrossNoTimelimited,Full,No TP,Reject,0.6511538461538462,4000,2600,65,40,-1664.8886222705612,15.735094192748141,3329.7772445411224,78.98955485173364,-1664.441355786273,15.712122779028427,3328.882711572546,78.54228836744927,65,65,0,0,1.0073037136541618,2.011018666182851,915.6574940681458,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,FullcrossTimelimited,Full,TP,Reject,0.6442307692307693,4000,2600,65,40,-1661.5655145313242,15.29395129053375,3323.1310290626484,77.85803137357225,-1661.1551012032457,15.278575393729842,3322.3102024064915,77.4476180454965,65,65,0,0,1.0086155067682576,2.009301229389867,895.7240569591522,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,FulltickNoTimelimited,Full,No TP,Accept,0.661923076923077,4000,2600,65,40,-1660.543878501605,15.64629696261149,3321.08775700321,79.69369778823912,-1660.1251026221394,15.632234948457802,3320.2502052442787,79.27492190877484,65,65,0,0,1.018149459043582,2.011491503609833,430.3973739147186,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,FulltickTimelimited,Full,TP,Accept,0.6792307692307692,4000,2600,65,40,-1613.8419436194088,17.59995980006284,3227.6838872388175,85.01597553130757,-1613.3062318183697,17.575103246023247,3226.6124636367394,84.48026373026802,65,65,0,0,1.0067817309064038,2.0111783544678032,511.4882321357727,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossNoTimelimited,Partial,No TP,Reject,0.7017857142857142,4000,2240,56,40,-1290.8643161461378,19.396466055994352,2581.7286322922755,80.31231763573336,-1289.8123877611326,19.329936941881815,2579.6247755222653,79.26038925072581,58,55,0,0,1.007227112988083,2.0117908649800853,357.3298759460449,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,PartialcrossTimelimited,Partial,TP,Reject,0.7080357142857143,4000,2240,56,40,-1347.3018072008192,18.946424991949804,2694.6036144016384,75.43395358184517,-1346.4758851993768,18.8941942256362,2692.9517703987535,74.6080315804048,57,56,0,0,1.0165696670479374,2.0133685403099655,314.61377000808716,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,PartialtickNoTimelimited,Partial,No TP,Accept,0.7209821428571429,4000,2240,56,40,-1245.9388359454636,21.339583035887845,2491.877671890927,86.74776921983876,-1244.6130769664476,21.234337161170707,2489.226153932895,85.4220102408213,58,56,0,0,1.0079845724961087,2.0241280374986164,342.4003601074219,pilot_flagged_control_upgraded
full,modelB_decay,Model B: Decay-RL + Stickiness,PartialtickTimelimited,Partial,TP,Accept,0.7383928571428572,4000,2240,56,40,-1209.326430977028,22.290084305090996,2418.652861954056,79.74100782027773,-1208.2839661276325,22.225390483720975,2416.567932255265,78.69854297088412,56,56,0,0,1.0081776652801344,2.013760792144153,370.08435106277466,pilot_flagged_control_upgraded
full,modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossNoTimelimited,Full,No TP,Reject,0.6526923076923077,4000,2600,65,40,-1665.1859779304586,15.775839952405393,3330.3719558609173,80.29477065436053,-1664.7460283728674,15.75653709412928,3329.4920567457348,79.85482109676819,65,65,0,0,1.0067175136495405,2.0109663080472537,334.8628878593445,pilot_flagged_control_upgraded
full,modelC_hybrid,Model C: Hybrid RL + BMT features,FullcrossTimelimited,Full,TP,Reject,0.6457692307692308,4000,2600,65,40,-1662.6902833972956,15.324070929575749,3325.3805667945912,80.01636580349387,-1662.2253301750577,15.30545169571044,3324.4506603501154,79.55141258125803,65,65,0,0,1.007380562574664,2.011525351456029,658.9584720134735,pilot_flagged_control_upgraded
full,modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickNoTimelimited,Full,No TP,Accept,0.6603846153846153,4000,2600,65,40,-1660.4573152033665,15.697851905951438,3320.914630406733,83.33534995267259,-1659.962476378492,15.68014782502789,3319.924952756984,82.84051112779443,65,65,0,0,1.0205820075768746,2.0123213386894983,428.3386390209198,pilot_flagged_control_upgraded
full,modelC_hybrid,Model C: Hybrid RL + BMT features,FulltickTimelimited,Full,TP,Accept,0.6757692307692308,4000,2600,65,40,-1613.7453363229934,17.63563591601445,3227.4906726459867,86.86598439692426,-1613.2237548872854,17.612627211348286,3226.447509774571,86.34440296121191,65,65,0,0,1.0088927425849639,2.0114436868168717,699.1259088516235,pilot_flagged_control_upgraded
