scope,compare_model,benchmark_model,task,n_obs,delta_top1,delta_elpd_loo,delta_elpd_waic
overall,modelA_asym_lapse,delta3_benchmark,ALL_TASKS,19360,0.005061983471074403,27.856316007279247,26.43049746289421
task,modelA_asym_lapse,delta3_benchmark,FullcrossNoTimelimited,2600,-0.0019230769230769162,-0.6620968239892591,-0.7720386573091673
task,modelA_asym_lapse,delta3_benchmark,FullcrossTimelimited,2600,0.0019230769230769162,0.7174872590817358,0.6054776312348622
task,modelA_asym_lapse,delta3_benchmark,FulltickNoTimelimited,2600,0.0026923076923077716,-2.525260683095212,-2.551389345597272
task,modelA_asym_lapse,delta3_benchmark,FulltickTimelimited,2600,0.004615384615384577,1.479484125807403,1.3426188745847867
task,modelA_asym_lapse,delta3_benchmark,PartialcrossNoTimelimited,2240,0.0022321428571429047,4.343284859481628,4.241882102536692
task,modelA_asym_lapse,delta3_benchmark,PartialcrossTimelimited,2240,0.008928571428571397,6.866037923346084,6.428102316330069
task,modelA_asym_lapse,delta3_benchmark,PartialtickNoTimelimited,2240,0.02008928571428581,14.756370119500843,14.655855275805152
task,modelA_asym_lapse,delta3_benchmark,PartialtickTimelimited,2240,0.004017857142857184,2.8810092271460235,2.4799892653090865
overall,modelA_asym_lapse,old_original_benchmark,ALL_TASKS,19360,0.0491219008264463,659.128958431703,661.461778456719
task,modelA_asym_lapse,old_original_benchmark,FullcrossNoTimelimited,2600,0.0461538461538461,85.49310400250465,85.70246320484284
task,modelA_asym_lapse,old_original_benchmark,FullcrossTimelimited,2600,0.03423076923076929,58.61890417022005,58.877090412170446
task,modelA_asym_lapse,old_original_benchmark,FulltickNoTimelimited,2600,0.047307692307692384,75.40897030985548,75.74045658535692
task,modelA_asym_lapse,old_original_benchmark,FulltickTimelimited,2600,0.053846153846153766,104.89387929351415,105.17660053139798
task,modelA_asym_lapse,old_original_benchmark,PartialcrossNoTimelimited,2240,0.04375000000000007,73.44878044678376,73.79676141363575
