stage,model_id,task,status,note,elapsed_sec
pilot,modelA_asym_lapse,FullcrossNoTimelimited,success,,240.19052696228027
pilot,modelA_asym_lapse,FullcrossTimelimited,success,,281.8201959133148
pilot,modelA_asym_lapse,FulltickNoTimelimited,success,,253.58851408958435
pilot,modelA_asym_lapse,FulltickTimelimited,success,,255.40456104278564
pilot,modelA_asym_lapse,PartialcrossNoTimelimited,success,,204.88213992118835
pilot,modelA_asym_lapse,PartialcrossTimelimited,success,,384.44483399391174
pilot,modelA_asym_lapse,PartialtickNoTimelimited,success,,155.91311597824097
pilot,modelA_asym_lapse,PartialtickTimelimited,success,,212.87454795837402
pilot,modelB_decay,FullcrossNoTimelimited,success,,299.39994597435
pilot,modelB_decay,FullcrossTimelimited,success,,410.423397064209
pilot,modelB_decay,FulltickNoTimelimited,success,,290.4488489627838
pilot,modelB_decay,FulltickTimelimited,success,,301.1776080131531
pilot,modelB_decay,PartialcrossNoTimelimited,success,,331.87807607650757
pilot,modelB_decay,PartialcrossTimelimited,success,,237.61790704727173
pilot,modelB_decay,PartialtickNoTimelimited,success,,245.2987949848175
pilot,modelB_decay,PartialtickTimelimited,success,,239.63633704185486
pilot,modelC_hybrid,FullcrossNoTimelimited,success,,249.62380695343018
pilot,modelC_hybrid,FullcrossTimelimited,success,,201.38460397720337
pilot,modelC_hybrid,FulltickNoTimelimited,success,,147.1937289237976
pilot,modelC_hybrid,FulltickTimelimited,success,,133.30200219154358
pilot,modelC_hybrid,PartialcrossNoTimelimited,success,,150.68941593170166
pilot,modelC_hybrid,PartialcrossTimelimited,success,,132.93632793426514
pilot,modelC_hybrid,PartialtickNoTimelimited,success,,120.3762640953064
pilot,modelC_hybrid,PartialtickTimelimited,success,,113.5016438961029
full,modelA_asym_lapse,FullcrossNoTimelimited,success,,692.9835369586945
full,modelA_asym_lapse,FullcrossTimelimited,success,,623.1888499259949
full,modelA_asym_lapse,FulltickNoTimelimited,success,,751.5493562221527
full,modelA_asym_lapse,FulltickTimelimited,success,,787.248960018158
full,modelA_asym_lapse,PartialcrossNoTimelimited,success,,573.4904108047485
full,modelA_asym_lapse,PartialcrossTimelimited,success,,845.5619690418243
full,modelA_asym_lapse,PartialtickNoTimelimited,success,,550.5123960971832
full,modelA_asym_lapse,PartialtickTimelimited,success,,414.0096879005432
full,modelB_decay,FullcrossNoTimelimited,success,pilot_flagged_control_upgraded,915.6574940681458
full,modelB_decay,FullcrossTimelimited,success,pilot_flagged_control_upgraded,895.7240569591522
full,modelB_decay,FulltickNoTimelimited,success,pilot_flagged_control_upgraded,430.3973739147186
full,modelB_decay,FulltickTimelimited,success,pilot_flagged_control_upgraded,511.4882321357727
full,modelB_decay,PartialcrossNoTimelimited,success,pilot_flagged_control_upgraded,357.3298759460449
full,modelB_decay,PartialcrossTimelimited,success,pilot_flagged_control_upgraded,314.61377000808716
full,modelB_decay,PartialtickNoTimelimited,success,pilot_flagged_control_upgraded,342.4003601074219
full,modelB_decay,PartialtickTimelimited,success,pilot_flagged_control_upgraded,370.08435106277466
full,modelC_hybrid,FullcrossNoTimelimited,success,pilot_flagged_control_upgraded,334.8628878593445
full,modelC_hybrid,FullcrossTimelimited,success,pilot_flagged_control_upgraded,658.9584720134735
full,modelC_hybrid,FulltickNoTimelimited,success,pilot_flagged_control_upgraded,428.3386390209198
full,modelC_hybrid,FulltickTimelimited,success,pilot_flagged_control_upgraded,699.1259088516235
full,modelC_hybrid,PartialcrossNoTimelimited,success,pilot_flagged_control_upgraded,360.49127292633057
full,modelC_hybrid,PartialcrossTimelimited,success,,217.6721568107605
full,modelC_hybrid,PartialtickNoTimelimited,success,pilot_flagged_control_upgraded,375.4469790458679
full,modelC_hybrid,PartialtickTimelimited,success,,206.35484790802002
