stage,model_id,model_label,top1_accuracy,iter,warmup,chains,adapt_delta,max_treedepth,elapsed_sec,note,task,feedback,time_pressure,frame,draws,n_obs,n_participants,n_trials,elpd_loo,se_elpd_loo,looic,p_loo,elpd_waic,se_elpd_waic,waic,p_waic,pareto_k_gt_0_7,pareto_k_gt_1,n_divergent,n_max_treedepth,max_rhat,min_n_eff
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6488461538461539,1000,500,4,0.95,10,240.19052696228027,,FullcrossNoTimelimited,Full,No TP,Reject,2000,2600,65,40,-1664.72695897641,15.469557864987896,3329.45391795282,82.32588791709168,-1664.3330512241812,15.462826078886735,3328.6661024483624,81.93198016485927,65,65,0,0,1.04082504875831,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6534615384615384,1000,500,4,0.95,10,281.8201959133148,,FullcrossTimelimited,Full,TP,Reject,2000,2600,65,40,-1661.230094046678,15.146217990626257,3322.460188093356,82.44594009110688,-1660.7838981121836,15.139570652153296,3321.567796224367,81.99974415661697,67,66,0,0,1.038088640670915,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6642307692307692,1000,500,4,0.95,10,253.58851408958435,,FulltickNoTimelimited,Full,No TP,Accept,2000,2600,65,40,-1662.3932563664118,15.42715118459012,3324.7865127328237,85.8905483696396,-1661.8933645797183,15.417659063640258,3323.7867291594366,85.39065658294552,65,65,0,0,1.0136694836394415,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.6803846153846154,1000,500,4,0.95,10,255.40456104278564,,FulltickTimelimited,Full,TP,Accept,2000,2600,65,40,-1612.8842915692744,17.572529662116445,3225.768583138549,91.1890992757449,-1612.3939494819147,17.563656501324814,3224.7878989638293,90.69875718838763,65,65,0,0,1.02190909905061,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7022321428571429,1000,500,4,0.95,10,204.88213992118835,,PartialcrossNoTimelimited,Partial,No TP,Reject,2000,2240,56,40,-1296.779630341508,19.252424647510782,2593.559260683016,82.67069003509528,-1296.152584529623,19.238817563020532,2592.305169059246,82.04364422320975,57,56,0,0,1.0097535816314391,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7147321428571428,1000,500,4,0.95,10,384.44483399391174,,PartialcrossTimelimited,Partial,TP,Reject,2000,2240,56,40,-1350.3306809829683,18.827568825459096,2700.6613619659365,89.57206107929834,-1350.0026353061673,18.828793695139368,2700.0052706123347,89.2440154024995,62,56,0,0,1.0455256648705693,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7357142857142858,1000,500,4,0.95,10,155.91311597824097,,PartialtickNoTimelimited,Partial,No TP,Accept,2000,2240,56,40,-1244.0423894514433,21.18855376494044,2488.0847789028867,97.5180377965538,-1243.2607131963996,21.17111944681397,2486.521426392799,96.73636154150789,56,56,0,0,1.0190761424021155,2.0060180541625114
pilot,modelA_asym_lapse,Model A: Asymmetric-LR + Stickiness + Lapse,0.7428571428571429,1000,500,4,0.95,10,212.87454795837402,,PartialtickTimelimited,Partial,TP,Accept,2000,2240,56,40,-1216.950777588619,22.32637789605564,2433.901555177238,85.33477712163814,-1216.4322243480133,22.316390314903195,2432.8644486960266,84.8162238810293,56,56,0,0,1.023218035153863,2.0060180541625114
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.6496153846153846,1000,500,4,0.95,10,299.39994597435,,FullcrossNoTimelimited,Full,No TP,Reject,2000,2600,65,40,-1664.2445645822372,15.718775703220356,3328.4891291644744,78.351544940865,-1663.766310416437,15.700603150826796,3327.532620832874,77.87329077506608,65,65,0,0,1.173219112666274,2.0222412868870605
pilot,modelB_decay,Model B: Decay-RL + Stickiness,0.6438461538461538,1000,500,4,0.95,10,410.423397064209,,FullcrossTimelimited,Full,TP,Reject,2000,2600,65,40,-1661.778995545628,15.256798483024374,3323.557991091256,77.9148936041297,-1661.2884943934118,15.241469849155006,3322.5769887868237,77.42439245191467,65,65,0,0,1.512529346168383,2.0185516505891834
